unit_number,block,floor,unit_type,status,cabinet_types,snagging,missing_parts,notes
1,A,1,Main Flat,Not Started,,,,
2,A,2,Main Flat,Not Started,,,,
3,A,3,Main Flat,Not Started,,,,
4,A,4,Top Flat,Not Started,,,,
5,B,1,Main Flat,Not Started,,,,
6,B,1,Main Flat,Not Started,,,,
7,B,2,Main Flat,Not Started,,,,
8,B,2,Main Flat,Not Started,,,,
9,B,3,Main Flat,Not Started,,,,
10,B,3,Main Flat,Not Started,,,,
11,B,4,Top Flat,Not Started,,,,
12,B,4,Top Flat,Not Started,,,,
13,C,1,Main Flat,Not Started,,,,
14,C,1,Main Flat,Not Started,,,,
15,C,2,Main Flat,Not Started,,,,
16,C,2,Main Flat,Not Started,,,,
17,C,3,Main Flat,Not Started,,,,
18,C,3,Main Flat,Not Started,,,,
19,C,4,Top Flat,Not Started,,,,
20,C,4,Top Flat,Not Started,,,,
21,D,1,Main Flat,Not Started,,,,
22,D,2,Main Flat,Not Started,,,,
23,D,3,Main Flat,Not Started,,,,
24,D,4,Top Flat,Not Started,,,,
25,E,1,Main Flat,Not Started,,,,
26,E,1,Main Flat,Not Started,,,,
27,E,2,Main Flat,Not Started,,,,
28,E,2,Main Flat,Not Started,,,,
29,E,3,Main Flat,Not Started,,,,
30,E,3,Main Flat,Not Started,,,,
31,E,4,Top Flat,Not Started,,,,
32,E,4,Top Flat,Not Started,,,,
33,F,1,Main Flat,Not Started,,,,
34,F,1,Main Flat,Not Started,,,,
35,F,2,Main Flat,Not Started,,,,
36,F,2,Main Flat,Not Started,,,,
37,F,3,Main Flat,Not Started,,,,
38,F,3,Main Flat,Not Started,,,,
39,F,4,Top Flat,Not Started,,,,
40,F,4,Top Flat,Not Started,,,,
41,Middle,,Middle Flat,Not Started,,,,
42,Middle,,Middle Flat,Not Started,,,,
43,Duplex,,Duplex,Not Started,,,,
44,Duplex,,Duplex,Not Started,,,,
45,Duplex,,Duplex,Not Started,,,,
46,Duplex,,Duplex,Not Started,,,,
47,Duplex,,Duplex,Not Started,,,,
48,Duplex,,Duplex,Not Started,,,,
